epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,87908.6,0.56782,0.28415,1.13758,0.9782,0.98522,0.99317,0.88472,0.56328,0.26413,1.07576,0.0085843,0.0085843,0.0085843
145,88582.1,0.55822,0.28199,1.12152,0.97753,0.98431,0.99316,0.8846,0.56309,0.26446,1.07547,0.0085744,0.0085744,0.0085744
146,89248.4,0.56701,0.28245,1.13523,0.97817,0.98204,0.99316,0.88472,0.56284,0.2644,1.076,0.0085645,0.0085645,0.0085645
147,89929.7,0.56641,0.28304,1.12555,0.98009,0.98275,0.99316,0.88487,0.56341,0.26431,1.07647,0.0085546,0.0085546,0.0085546
148,90595.3,0.56379,0.28456,1.13078,0.97695,0.98704,0.99316,0.88503,0.56345,0.26384,1.07661,0.0085447,0.0085447,0.0085447
149,91284.4,0.56641,0.28031,1.1318,0.97885,0.98513,0.9931,0.88461,0.56303,0.26411,1.077,0.0085348,0.0085348,0.0085348
150,91947.2,0.56209,0.28011,1.12596,0.97947,0.98423,0.99315,0.88492,0.56207,0.26322,1.07672,0.0085249,0.0085249,0.0085249
151,92610.3,0.5601,0.28081,1.12916,0.98077,0.98393,0.99327,0.8847,0.5616,0.2628,1.07695,0.008515,0.008515,0.008515
152,93281.7,0.56232,0.28111,1.12954,0.98012,0.9847,0.99326,0.88494,0.56147,0.26293,1.07693,0.0085051,0.0085051,0.0085051
153,93936.5,0.56217,0.2804,1.12499,0.97912,0.9847,0.99329,0.88537,0.56078,0.26226,1.07627,0.0084952,0.0084952,0.0084952
154,94623.2,0.56331,0.28337,1.13153,0.97949,0.9848,0.99329,0.88466,0.56063,0.26243,1.07643,0.0084853,0.0084853,0.0084853
155,95274.3,0.55941,0.27811,1.12231,0.97979,0.98403,0.99328,0.88504,0.56009,0.26214,1.07589,0.0084754,0.0084754,0.0084754
156,95917.2,0.56739,0.28038,1.12722,0.98033,0.98403,0.99331,0.88525,0.55975,0.26146,1.07517,0.0084655,0.0084655,0.0084655
157,96560.1,0.55796,0.27927,1.12331,0.98052,0.98403,0.99332,0.88453,0.55918,0.26144,1.07486,0.0084556,0.0084556,0.0084556
158,97220.7,0.55566,0.27727,1.12331,0.98024,0.98337,0.99317,0.88513,0.55933,0.2614,1.07528,0.0084457,0.0084457,0.0084457
159,97899.5,0.5554,0.2776,1.11738,0.98077,0.98386,0.99316,0.88479,0.55934,0.26096,1.0752,0.0084358,0.0084358,0.0084358
160,98556.8,0.56532,0.27694,1.12846,0.98077,0.98417,0.99319,0.88469,0.55922,0.26067,1.07539,0.0084259,0.0084259,0.0084259
161,99218.6,0.55901,0.27631,1.12131,0.98077,0.98395,0.99315,0.88427,0.55898,0.26033,1.07544,0.008416,0.008416,0.008416
162,99877.4,0.57256,0.28276,1.1345,0.97977,0.98536,0.99316,0.88488,0.55843,0.26046,1.07494,0.0084061,0.0084061,0.0084061
163,100546,0.55617,0.28123,1.11723,0.97983,0.98536,0.99317,0.88448,0.55801,0.26007,1.07454,0.0083962,0.0083962,0.0083962
164,101227,0.55566,0.27612,1.11767,0.98011,0.98381,0.99318,0.8856,0.55771,0.26002,1.07406,0.0083863,0.0083863,0.0083863
165,101896,0.55276,0.27553,1.11986,0.98081,0.98607,0.9932,0.88561,0.55802,0.26008,1.07402,0.0083764,0.0083764,0.0083764
166,102555,0.55529,0.2797,1.11914,0.98081,0.98624,0.9932,0.88534,0.55804,0.25997,1.07374,0.0083665,0.0083665,0.0083665
167,103207,0.55477,0.278,1.12081,0.98081,0.98621,0.99322,0.88603,0.55794,0.25986,1.07359,0.0083566,0.0083566,0.0083566
168,103863,0.55841,0.27905,1.1196,0.98128,0.98603,0.9932,0.88582,0.55778,0.25989,1.07321,0.0083467,0.0083467,0.0083467
169,104533,0.55398,0.27659,1.11657,0.9812,0.98603,0.9932,0.88574,0.55758,0.25974,1.07312,0.0083368,0.0083368,0.0083368
170,105202,0.55368,0.27548,1.11841,0.98175,0.98603,0.99323,0.88618,0.55743,0.25962,1.07307,0.0083269,0.0083269,0.0083269
171,105871,0.54979,0.27484,1.11802,0.98173,0.98603,0.99326,0.88668,0.55675,0.26035,1.07209,0.008317,0.008317,0.008317
172,106547,0.54978,0.27386,1.12101,0.98212,0.98648,0.99324,0.88716,0.55643,0.26032,1.0716,0.0083071,0.0083071,0.0083071
173,107206,0.55384,0.27589,1.11829,0.9816,0.98603,0.99321,0.88678,0.55608,0.26027,1.0708,0.0082972,0.0082972,0.0082972
174,107872,0.5523,0.27149,1.11351,0.98081,0.98639,0.99319,0.88674,0.55607,0.25984,1.07079,0.0082873,0.0082873,0.0082873
175,108561,0.54413,0.2723,1.1121,0.98081,0.98591,0.99317,0.88628,0.55582,0.25984,1.07054,0.0082774,0.0082774,0.0082774
176,109234,0.54611,0.2648,1.11356,0.98032,0.98536,0.99318,0.88606,0.55565,0.25997,1.07032,0.0082675,0.0082675,0.0082675
177,109893,0.55059,0.26777,1.12109,0.98095,0.98536,0.99322,0.88669,0.55589,0.26019,1.07012,0.0082576,0.0082576,0.0082576
178,110556,0.55599,0.27363,1.11544,0.98079,0.98526,0.99319,0.88644,0.55574,0.26027,1.07,0.0082477,0.0082477,0.0082477
179,111219,0.55432,0.27401,1.11258,0.98037,0.98536,0.99318,0.88695,0.55583,0.25998,1.06981,0.0082378,0.0082378,0.0082378
180,111887,0.5537,0.27186,1.11995,0.98023,0.98536,0.99318,0.88742,0.55593,0.26016,1.07005,0.0082279,0.0082279,0.0082279
